id,category,rule,keywords,description,code_hint,platform,anti_pattern
12,Navigation,useFocusEffect,focus effect screen active lifecycle,Run side effects when screen gains focus rather than on mount to handle navigation lifecycle,useFocusEffect(useCallback(() => { fetchData(); return () => cleanup(); } [])),React Native,Using useEffect alone which misses re-focus after navigating back
13,Navigation,useIsFocused,is focused screen visible conditional,Check if screen is currently focused before running focus-dependent logic,const isFocused = useIsFocused(); // use to gate animations or data refresh,React Native,Polling or using workarounds to detect screen focus state
14,Styling,StyleSheet.create,stylesheet create performance native optimization,Register styles natively with StyleSheet.create for validation and serialization optimization,const styles = StyleSheet.create({ container: { flex: 1 padding: 16 } }),React Native,Inline style objects like style={{ padding: 16 }} that create new objects each render
15,Styling,Platform.select,platform select conditional ios android,Use Platform.select for clean cross-platform style differences,style: Platform.select({ ios: { shadowOpacity: 0.3 } android: { elevation: 4 } }),React Native,Long if-else platform checks inline in components
16,Styling,Flexbox defaults,flexbox default column main axis,React Native uses flexbox column direction by default unlike web; understand differences,Default flexDirection is 'column' not 'row'; justifyContent and alignItems differ from web,React Native,Applying web flex mental model without accounting for RN column default
17,Styling,absolute fill,absolute fill style position overlay,Use StyleSheet.absoluteFillObject for overlay and full-cover positioned elements,style={[StyleSheet.absoluteFillObject { backgroundColor: 'rgba(0,0,0,0.5)' }]},React Native,Manually typing position:'absolute' top:0 right:0 bottom:0 left:0 each time
18,Images,expo-image,expo image cache webp progressive,Use expo-image for automatic caching progressive loading WebP support and better performance,<Image source={{ uri: url }} contentFit="cover" cachePolicy="memory-disk" transition={200} />,React Native / Expo,Using RN's stock <Image> which has no caching or progressive loading
19,Images,resizeMode cover contain,resize mode aspect ratio image fit,Set appropriate resizeMode to control how images fill their container,<Image resizeMode="cover" /> for hero images; "contain" for logos; "center" for icons,React Native,Using wrong resizeMode causing image distortion or unexpected cropping
20,Images,Image placeholders,placeholder blur hash loading shimmer,Show placeholder while image loads to prevent flash of blank space,<Image placeholder={{ uri: blurHash }} transition={{ duration: 200 }} />,React Native / Expo,No placeholder state causing content shift when image loads
21,Animation,Reanimated v2+,reanimated animation native thread performance,Use Reanimated v2+ for 60fps animations running on UI thread without bridge overhead,const style = useAnimatedStyle(() => ({ opacity: withTiming(value.value) })),React Native,Using Animated API which communicates over bridge causing dropped frames
22,Animation,withSpring,spring animation natural physics bounce,Use withSpring for natural physics-based animations that feel platform-native,withSpring(1 { damping: 15 stiffness: 100 }) in Reanimated,Using withTiming with linear easing for all animations
23,Animation,withTiming,timing animation duration easing,Use withTiming with appropriate duration and easing for deliberate UI transitions,withTiming(0 { duration: 300 easing: Easing.out(Easing.ease) }),React Native,Using timing with no easing function making animations feel mechanical
24,Animation,LayoutAnimation,layout animation automatic ios,Use LayoutAnimation for simple layout change animations without manual animation setup,LayoutAnimation.configureNext(LayoutAnimation.Presets.easeInEaseOut),React Native / iOS,Using LayoutAnimation on Android without calling UIManager.setLayoutAnimationEnabledExperimental
25,Gestures,PanGestureHandler,pan gesture swipe drag reanimated,Use PanGestureHandler + Reanimated for performant draggable and swipeable components,<PanGestureHandler onGestureEvent={gestureHandler}><Animated.View style={animatedStyle} />`,React Native,Building gesture tracking with onStartShouldSetResponder (old API)
26,Gestures,Gesture.Pan,gesture handler v2 pan gesture,Use new Gesture API from react-native-gesture-handler v2 for composition and better control,const pan = Gesture.Pan().onUpdate(e => { offset.value = e.translationX }),React Native,Mixing old and new gesture APIs causing handler conflicts
27,Gestures,gesture nesting,nested gestures scroll list conflict,Carefully handle nested scrollable + gesture areas to avoid conflict,Use simultaneousHandlers or waitFor on PanGestureHandler when inside ScrollView/FlatList,React Native,Nesting swipe gesture inside ScrollView without handling conflicts causing gesture stealing
28,Safe Area,SafeAreaView,safe area view inset notch dynamic island,Wrap screen content in SafeAreaView or use useSafeAreaInsets for precise control,import { SafeAreaView } from 'react-native-safe-area-context' (not RN's built-in),React Native / iOS,Using React Native's built-in SafeAreaView which is less accurate and Android-unfriendly
29,Safe Area,useSafeAreaInsets,safe area insets bottom tab bar padding,Get precise inset values to manually apply safe area padding to specific edges,const { top bottom } = useSafeAreaInsets(); apply bottom to tab bar and CTA,React Native,Hardcoding 34px for iPhone notch instead of reading actual inset value
30,Safe Area,keyboard insets,keyboard insets react-native-keyboard-controller,Use react-native-keyboard-controller for smooth interactive keyboard avoidance,<KeyboardAwareScrollView> or KeyboardController for smooth native keyboard animation,React Native,Using KeyboardAvoidingView which jumps rather than animating smoothly
31,Performance,memo components,memo react performance rerender optimization,Wrap pure presentational components in React.memo to prevent rerenders on parent updates,export default React.memo(ListItem) for FlatList row components,React Native,Forgetting to memo FlatList row components causing all rows to rerender on any state change
32,Performance,useCallback handlers,usecallback flatlist handler stable reference,Stabilize event handlers passed to FlatList renderItem and item props with useCallback,const renderItem = useCallback(({ item }) => <Row item={item} /> []),React Native,Creating new function references each render causing all FlatList items to rerender
33,Performance,InteractionManager,interactionmanager defer heavy work animation,Defer non-critical work until after animations complete to maintain 60fps transitions,InteractionManager.runAfterInteractions(() => { fetchData() }),React Native,Running heavy data processing synchronously during navigation transitions causing jank
34,Performance,Hermes engine,hermes javascript engine performance,Enable Hermes JavaScript engine for improved startup time and memory usage,android { defaultConfig { jsEngine = "hermes" } } in android/app/build.gradle,React Native / Android,Disabling Hermes and running on JavaScriptCore (slower startup)
35,Storage,MMKV,mmkv storage fast synchronous key-value,Use react-native-mmkv for synchronous high-performance storage over AsyncStorage,const storage = new MMKV(); storage.set('theme' 'dark'); storage.getString('theme'),React Native,Using AsyncStorage for frequently read values like theme/settings (async overhead)
36,Storage,expo-secure-store,secure store keychain credentials encryption,Store sensitive data like tokens in device keychain using expo-secure-store,await SecureStore.setItemAsync('token' jwtToken) for auth tokens,React Native / Expo,Storing auth tokens in AsyncStorage which is not encrypted
37,Notifications,expo-notifications,notifications push local schedule badge,Use expo-notifications for push and local notification handling and badge management,await Notifications.scheduleLocalNotificationAsync({ content trigger }); badge management,React Native / Expo,Implementing raw APNS/FCM without expo-notifications losing cross-platform abstraction
38,Haptics,expo-haptics,haptics tactile feedback impact notification,Use expo-haptics for platform-appropriate haptic feedback on interactions,Haptics.impactAsync(ImpactFeedbackStyle.Medium) on button press,React Native / iOS,Using third-party haptics library when expo-haptics already handles both platforms
39,Typography,allowFontScaling,font scaling accessibility dynamic type,Never disable allowFontScaling; ensure layouts handle larger text without breaking,All <Text> components default to allowFontScaling={true}; never set false,React Native / iOS,Setting allowFontScaling={false} breaking Dynamic Type accessibility
40,Status Bar,StatusBar style,status bar style background color react navigation,Manage status bar appearance per-screen using React Navigation's Screen options,<Stack.Screen options={{ statusBarStyle: 'light' statusBarColor: '#000' }} />,React Native,Using single global StatusBar component that conflicts with per-screen needs
41,Keyboard,dismiss keyboard,keyboard dismiss on scroll outside touch,Dismiss keyboard when user scrolls or taps outside input to improve UX,<ScrollView keyboardDismissMode="on-drag"> or TouchableWithoutFeedback onPress={Keyboard.dismiss},React Native,Keyboard staying open while user scrolls making content inaccessible
42,Error,ErrorBoundary,error boundary fallback crash recovery,Implement error boundaries around screens to prevent full app crashes on render errors,class ErrorBoundary extends React.Component { componentDidCatch() {} render() { return fallback or children } },React Native,No error boundary causing full white screen on any render exception
43,Network,NetInfo,netinfo offline detection network status,Detect network status changes to show offline state and handle reconnection,import NetInfo from '@react-native-community/netinfo'; NetInfo.addEventListener(state => {}),React Native,No offline detection showing cryptic error messages when network is unavailable
44,Platform,Platform.Version,platform version ios android conditional,Use Platform.Version for version-specific behavior needed across iOS/Android versions,if (Platform.OS === 'ios' && parseInt(Platform.Version) >= 16) useNewAPI(),React Native,Assuming same behavior across all iOS/Android versions
