id,name,keywords,description,effects,border_radius,shadows,colors,typography,best_for,avoid_for,css_hints
16,Editorial,editorial magazine print layout content-rich,Magazine-style layouts with strong typographic hierarchy and imagery,text-on-image overlays,0-4px,minimal,black white editorial accent color,strong serif headings sans body,media blogs magazines journalism,dashboards apps tools mobile,large type treatments full-bleed imagery column layout
17,Data-Heavy/Dense,data heavy dense information complex tables,High-information-density design for power users and complex data,minimal for clarity,4px,subtle or none,neutral with semantic status colors,small readable monospaced or sans-serif,admin panels analytics trading enterprise tools,consumer apps marketing landing pages mobile,compact spacing small font-size data tables sticky headers
18,Corporate,corporate business formal professional enterprise,Clean professional design with restrained use of color and clear hierarchy,none to subtle,4-8px,subtle elevation,brand blue or navy with neutrals,reliable readable fonts Inter Source Sans,B2B SaaS enterprise healthcare finance,entertainment gaming creative consumer,consistent spacing brand color well-structured layout
19,Luxury/Premium,luxury premium high-end exclusive elegant,High-end design with generous whitespace premium photography and refined type,subtle premium border glow,0-2px,very subtle or none,black gold champagne cream,serif or thin elegant sans-serif,luxury brands fashion jewelry hospitality,mass-market apps data-heavy dashboards playful products,generous whitespace editorial imagery thin letterform
20,Playful,playful fun colorful vibrant friendly consumer,Energetic colorful design with rounded shapes and expressive typography,bouncy animation rounded shapes,16-32px,colored playful shadows,bright saturated multi-color palette,rounded friendly display fonts,kids apps consumer gaming social fitness food,enterprise legal finance medical,rounded-full bright-bg fun-shadow expressive type
21,Retro,retro vintage nostalgic old-school classic,Vintage-inspired design with retro color palettes textures and typography,noise texture grain overlay,0-4px,long shadow retro,muted oranges browns cream yellows,display retro fonts slab serifs,food beer lifestyle brands nostalgia products,modern SaaS healthcare,sepia tones texture overlay retro font-family
22,Synthwave,synthwave retrowave vaporwave 80s neon purple,80s-inspired dark design with purple/pink neon and grid aesthetics,grid perspective neon glow,4-8px,neon glow purple/pink,dark purple/navy + hot pink cyan neon,retro display monospace,gaming music entertainment entertainment brand,corporate medical finance enterprise,grid-bg linear-gradient purple neon-glow retro aesthetic
23,Japandi,japandi japanese scandinavian minimal calm nature,Blend of Japanese wabi-sabi and Scandinavian minimalism with natural tones,none very subtle border,0-8px,very subtle or none,warm neutrals beige sand muted greens,clean minimal serif or humanist sans,interior design wellness spas hospitality lifestyle,tech SaaS data-heavy products,warm-neutral palette natural materials minimal decoration
24,Bauhaus,bauhaus geometric primary colors functional,German design school style with primary colors geometric forms functionality,geometric shapes bold primary,0-4px,none,red blue yellow black white,bold geometric display fonts,architecture studios art galleries design brands,consumer apps data products playful entertainment,primary-colors geometric shapes constructivist grid
25,Paper/Editorial,paper editorial print texture soft warm,Paper-like white/cream backgrounds with editorial typography and print-feel,paper texture subtle,4-8px,subtle drop shadow,cream off-white warm neutrals,serif newspaper editorial,blogs media journalism recipe sites literary,tech dashboards apps dark-mode,bg-amber-50 font-serif editorial layout columns
26,Monochrome,monochrome single color minimalist,Single hue with varied tones for depth and hierarchy,none to shadow,4-12px,single-hue shadows,single hue multiple tones,clean sans-serif,portfolios SaaS landing documentation,entertainment colorful consumer food,single hue scale bg-blue-50 to bg-blue-900
27,Glassmorphism Dark,glassmorphism dark frosted dark background,Dark frosted glass with vivid background and translucent panels,backdrop-filter dark blur,12-20px,subtle colored glow,dark navy/charcoal + vibrant through glass,clean white-text sans,crypto dashboards AI tools SaaS dark theme,light-theme healthcare conservative,bg-white/5 backdrop-blur-xl border-white/10 dark-background
28,Organic/Natural,organic natural earthy texture imperfect,Hand-crafted organic shapes textures and natural earth tones,organic shapes SVG blob,8-40px uneven,soft diffuse,earth tones greens browns sand,handwritten or humanist fonts,organic food wellness lifestyle sustainability,tech B2B enterprise digital tools,blob shapes organic SVG earth-colors texture
29,Gradient Mesh,gradient mesh colorful background modern,Rich color gradient mesh backgrounds for modern vibrant designs,gradient mesh backdrop,12-24px,medium colored shadow,vivid gradient mesh pastels,modern sans-serif,landing pages SaaS marketing tech startups,data-heavy text-heavy conservative brands,conic-gradient radial-gradient mesh layered
30,Monospace/Terminal,terminal monospace code developer hacker,Terminal-inspired design with monospace fonts and dark backgrounds,scanline cursor blink,2-4px,none or subtle CRT,dark green black amber on dark,monospace JetBrains Mono Fira,dev tools CLI apps hacker aesthetic,mainstream consumer apps healthcare,font-mono dark bg green text scanline-overlay
31,Swiss Grid,swiss grid systematic baseline layout,Highly systematic grid-based layout with strict alignment and spacing,none,0-4px,none,limited 2 colors + black,strong type hierarchy,design tools typography projects editorial,complex navigation app UI,strict grid system modular scale consistent baseline
32,Pastel Soft,pastel soft gentle light feminine,Soft pastel colors with gentle rounded forms and light feel,none to very subtle,12-20px,very light colored,pink lavender mint peach pastels,thin elegant fonts rounded,beauty apps lifestyle wellness kids,dark mode high-data enterprise,bg-pink-100 rounded-2xl soft shadow pastel
33,Neumorphic Dark,neumorphic dark soft dark emboss,Dark background with subtle 3D emboss/deboss using matched shadows,dark dual shadow emboss,8-16px,dark dual-tone soft shadow,dark gray charcoal palette,clean medium-weight fonts,smart home apps finance settings pages,high-contrast accessibility mobile,bg-gray-800 shadow-dark-neo inner-outer dual
34,Glassmorphism Aurora,glassmorphism aurora gradient mesh blur,Aurora gradient background with glassmorphic panels overlaid,aurora background + glass panel,16-24px,colored diffuse glow,aurora gradient mesh + white panels,clean modern sans-serif,AI tools SaaS premium landing creative portfolios,mobile performance data-heavy,aurora-bg backdrop-blur bg-white/10 radial-gradient
35,Memphis Design,memphis geometric 80s pattern bold fun,80s Memphis style with geometric patterns bold colors and playful forms,geometric pattern overlay,0-4px,hard colored shadow,bold pink yellow teal with black,expressive display fonts,creative agencies entertainment fashion,enterprise medical finance,geometric-pattern-bg bold-color hard-shadow
36,Squircle/Apple,squircle apple ios smooth rounded continuous,Apple HIG-inspired smooth continuous curve (squircle) shapes,squircle shape smooth radius,continuous curve,subtle elevation,neutral system colors,SF Pro or equivalent clean,iOS-like apps consumer mobile,harsh corporate desktop web,mask: squircle smooth curve
37,Fluid/Blob,fluid blob organic smooth morphing,Fluid organic blob shapes and smooth morphing forms,blob SVG morph,organic fluid,soft gradient shadow,fluid gradient pastels,modern sans-serif,creative studios landing pages art portfolio,data tables complex navigation,SVG blob clip-path organic morph
38,Bold Typography,bold typography type-led large text,Design led by large bold typography with minimal visual decoration,none,0-4px,none,B&W or limited accent,ultra-bold display fonts,agencies portfolios editorial brands,complex apps dashboards mobile,text-9xl font-black uppercase leading-none
39,Dark Editorial,dark editorial magazine night dark,Dark background editorial magazine layout with strong type,none,0-4px,subtle,dark black white accent color,editorial serif or sans,media music entertainment streaming,healthcare finance data tables,dark-bg white-type editorial serif
40,High Contrast,high contrast wcag accessibility bold,Maximum contrast for accessibility with bold clear elements,none,4-8px,high contrast borders,black white high-contrast system,legible at all sizes,accessibility-first government healthcare education,decorative luxury entertainment,bg-white text-black border-black strong contrast
41,Pastel Glassmorphism,pastel glass frosted soft pink blue,Pastel-tinted frosted glass for feminine gentle premium feel,backdrop-filter pastel tint,16-20px,soft pastel glow,pink lavender mint frosted glass,elegant thin sans-serif,beauty skincare wellness luxury fashion,dark mode developer tools data,backdrop-filter:blur(12px) bg-pink-100/30 border-pink-200/40
42,Futuristic,futuristic sci-fi tech modern cutting-edge,High-tech design with geometric precision and advanced aesthetic,geometric lines scanning,2-8px,hard or neon shadow,dark + electric blue silver,geometric technical fonts,AI tools space tech defense innovative startups,traditional enterprise consumer food,clip-path polygon sharp angles electric-blue
43,Kawaii,kawaii cute japanese adorable pastel,Extremely cute Japanese-inspired design with round soft characters,soft round shadows stickers,32-9999px fully rounded,soft cute shadows,soft pink yellow mint pastel,round cute fonts,games stickers kids apps cute brands,enterprise B2B serious products,rounded-full pastel bg sticker elements sparkles
44,Isometric,isometric 3d flat illustration grid,Flat 3D isometric illustration style for visual storytelling,isometric grid illustrations,4-8px,isometric shadow,flat illustration colors,clean modern sans-serif,landing pages SaaS explainer onboarding,data tables text-heavy,isometric-illustration-hero svg 3d-grid
45,Dark Luxury,dark luxury premium exclusive high-end night,Dark premium design with gold accents and exclusive feel,golden shimmer subtle,0-4px,gold-tinted glow,deep black navy + gold champagne,thin elegant serif or sans,luxury watches jewelry premium hospitality crypto,mass-market consumer apps,bg-black text-gold-400 thin-border gold-gradient
46,Wireframe,wireframe prototype sketch outline concept,Minimalist wireframe-style design with outlines and grayscale,none outline only,4-8px,none,pure grayscale,system fonts,prototypes documentation internal tools,consumer-facing products,border-2 border-gray-400 bg-transparent text-gray-600
47,Gradient Card,gradient card vibrant colorful section,Sections or cards with bold gradient backgrounds and white text,gradient background,12-20px,colored gradient shadow,vivid gradient combinations,bold clean fonts,marketing SaaS feature sections pricing,body text reading data tables,bg-gradient-to-r gradient-card white-text rounded-xl
48,Typography-Led,typography led headline font expressive,Design driven primarily by expressive typography choices,none,0-4px,none,minimal supporting color,expressive display headline,portfolios agencies brand campaigns,complex functionality apps,display-font large-headline minimal-support-elements
49,Micro-interaction,micro interaction motion animation delight,Design enriched with subtle meaningful micro-interactions and animations,hover scale press feedback,8-12px,elevation on hover,standard neutral palette,clean medium fonts,consumer apps SaaS onboarding product tours,performance-constrained data tables,transition-all hover:scale-105 active:scale-95 spring
50,Outlined/Stroked,outlined stroked line art icon,Line-art style with stroke-based icons and elements,none border-based,4-12px,none or outlined,dark on white outlined,clean medium fonts,documentation settings pages clean tools,entertainment gaming luxury,border-based icons outlined cards stroke-only
51,Art Deco,art deco 1920s geometric gold luxury ornate,Geometric ornate 1920s-inspired design with gold and symmetry,geometric ornament pattern,0-4px,metallic gold shadow,black gold ivory champagne,display serif ornate fonts,wedding luxury events upscale brands,tech apps data dashboards mobile,gold-ornament geometric-border art-deco-font
52,Wabi-Sabi,wabi-sabi imperfect natural organic texture,Embrace of imperfection and natural beauty with organic textures,noise texture organic,varies organic,subtle soft shadow,natural muted beige stone,natural humanist fonts,artisan brands ceramics wellness nature,digital products high tech brands,texture-overlay organic-shapes earth-tones
53,Metro Tile,metro tile windows grid card layout,Grid of equal-sized tiles for dashboard or portal interface,flat tile grid,0-4px,none,bold accent flat,clean sans-serif,Windows-style portals dashboards news,complex nav luxury entertainment,grid equal tiles bg-accent flat hover-darken
