id,category,rule,keywords,description,code_example,platform,standard
29,Images,aspect ratio,aspect ratio image dimensions no shift,Set aspectRatio or explicit dimensions on images to prevent layout shift,style={{ width: '100%' aspectRatio: 16/9 }} or explicit width and height,React Native / Web,Performance
30,Images,placeholder blur,placeholder blur hash progressive image,Show blur placeholder while image loads to prevent blank image flash,<Image placeholder={blurHashUrl} transition={200} contentFit="cover" />,React Native / Expo,UX
31,Platform,Platform.OS,platform os ios android conditional,Use Platform.OS for platform-specific behavior differences,Platform.OS === 'ios' ? iOSBehavior : androidBehavior,React Native,Best Practice
32,Platform,Platform.select,platform select conditional style,Use Platform.select for clean conditional platform code,Platform.select({ ios: { shadowOpacity: 0.3 } android: { elevation: 4 } }),React Native,Best Practice
33,Scroll,scroll view bounces,bounces ios scroll rubber band,Disable bounces for non-scrollable views; enable for scrollable containers,<ScrollView bounces={true}> for content; bounces={false} for horizontal pickers,React Native / iOS,Apple HIG
34,Scroll,scrollsToTop,scrolls to top status bar tap ios,Enable scrollsToTop for main content scroll views to support status bar tap gesture,<ScrollView scrollsToTop={true}> on primary screen scroll views,React Native / iOS,Apple HIG
35,Scroll,refreshControl,pull to refresh scroll reload,Implement pull-to-refresh for content lists that can be refreshed,<ScrollView refreshControl={<RefreshControl refreshing={isLoading} onRefresh={reload} />}>,React Native / iOS / Android,MD
36,Accessibility,accessible grouping,group accessibility label container,Group related elements as single accessibility unit to reduce screen reader verbosity,<View accessible={true} accessibilityLabel="Price: $29.99 per month">,React Native / iOS,Apple HIG
37,Accessibility,focus order,focus traversal order accessibility control,Control accessibility focus traversal order for logical reading experience,Use accessibilityViewIsModal on modals; importantForAccessibility="no" for decorative,React Native / iOS / Android,Apple HIG
38,Performance,InteractionManager,interaction manager animation completion native,Defer heavy work until animations complete using InteractionManager,InteractionManager.runAfterInteractions(() => { heavyDataProcessing() }),React Native,Performance
39,Performance,avoid inline styles,inline styles performance render object creation,Avoid inline style objects in render to prevent object recreation on every render,Move styles to StyleSheet.create or styled-components; not style={{ padding: 16 }} inline,React Native,Performance
40,Notifications,local notifications,local notification expo push badge,Use expo-notifications for local scheduling and push notification handling,await Notifications.scheduleNotificationAsync({ content trigger }); handle badge clearance,React Native / Expo,Apple HIG
41,Storage,secure storage,secure storage credentials keychain,Store sensitive data in device keychain not AsyncStorage,Use expo-secure-store for credentials; AsyncStorage only for non-sensitive preferences,React Native / iOS / Android,Security
42,Storage,mmkv fast storage,mmkv performance async storage replacement,Use react-native-mmkv for synchronous high-performance key-value storage,const storage = new MMKV(); storage.set('key' value); storage.getString('key'),React Native,Performance
43,Animation,haptic patterns,haptic feedback impact notification warning,Use appropriate haptic feedback type for different interaction contexts,Haptics.impactAsync(ImpactFeedbackStyle.Medium) on button press; notificationAsync on success,React Native / iOS / Expo,Apple HIG
44,Error Handling,error boundary native,error boundary react native crash recovery,Implement error boundaries and crash recovery UI in React Native,Wrap main navigation in ErrorBoundary with friendly recovery UI and crash reporting,React Native,Best Practice
