id,category,rule,keywords,description,code_hint,anti_pattern,impact
26,SEO,Metadata API,nextjs metadata seo og tags,Use Next.js Metadata API for SEO meta tags and Open Graph,export const metadata = { title: 'Page' description: 'Desc' },Hardcoding meta tags in HTML template without dynamic page-level overrides,High
27,SEO,generateStaticParams,static params ssg dynamic route,Pre-render dynamic routes at build time with generateStaticParams,export async function generateStaticParams() { return posts.map(p => ({ slug: p.slug })) },Skipping static generation for content that rarely changes,High
28,Accessibility,ARIA roles,aria roles semantic html accessibility,Use semantic HTML elements and ARIA roles for screen reader compatibility,<button aria-label="Close menu"> not <div onClick={close}>,Using div or span for interactive elements without role and keyboard support,Critical
29,Accessibility,Focus management,focus trap modal dialog accessibility,Manage focus correctly in modals and dialogs; trap focus while open,useFocusTrap(modalRef) move focus to modal on open restore on close,Opening modal leaving focus on trigger; focus can escape modal,High
30,Error Handling,Error boundaries,error boundary react fallback catch,Wrap route/section components in ErrorBoundary to catch render errors gracefully,class ErrorBoundary extends React.Component { componentDidCatch() render fallback },Letting unhandled errors crash the entire application,High
31,Patterns,Custom hooks,custom hooks logic extract reusable,Extract reusable stateful logic into custom hooks for cleaner components,function useWindowSize() { const [size] = useState(); useEffect... return size },Duplicating same useEffect + useState logic in 10 different components,Medium
32,Patterns,Compound components,compound component pattern flexible composition,Use compound component pattern for flexible composable UI components,<Select><Select.Option>Item</Select.Option></Select>,Passing 15 props to a single component for every configuration variation,Medium
33,Patterns,Container/Presenter,container presenter separation concerns,Separate data fetching from presentation for testability and reuse,DataContainer fetches and passes data to pure PresentationComponent,Mixing API calls useEffect fetch logic directly inside JSX presentation components,Medium
34,TypeScript,Strict mode,typescript strict type safety config,Enable TypeScript strict mode to catch null/undefined bugs at compile time,tsconfig: "strict": true,Disabling strict mode to avoid fixing type errors - losing type safety value,High
35,TypeScript,Discriminated unions,discriminated union state machine type,Use discriminated unions for loading/success/error state management,type State = { status: 'loading' } | { status: 'success' data: T } | { status: 'error' error: E },Using separate booleans: isLoading isError isSuccess that can be in impossible states,High
36,Routing,Prefetching,prefetch link hover navigation next,Prefetch routes on link hover for instant navigation feeling,<Link href="/dashboard" prefetch>Dashboard</Link>,Disabling prefetch on all links removing instant navigation behavior,High
37,Routing,Loading UI,loading ui nextjs streaming skeleton,Add loading.tsx files in Next.js for automatic loading state per route,Create loading.tsx next to page.tsx with skeleton component,No loading state showing blank screen during navigation,High
38,Routing,Parallel routes,parallel routes nextjs dashboard layout,Use Next.js parallel routes for complex dashboard layouts with independent loading,@analytics @notifications folders in app directory with separate loading states,Rendering entire dashboard page waiting for slowest data fetch,Medium
39,Caching,Optimistic updates,optimistic update ui react query mutation,Update UI immediately then sync with server for snappy interactions,useMutation({ onMutate: updateCacheOptimistically onError: rollback }),Waiting for server response before updating UI making app feel slow,High
40,Performance,Web Workers,web worker heavy computation offthread,Move expensive computation off main thread to prevent UI jank,const worker = new Worker('./worker.js'); worker.postMessage(data),Running CPU-intensive calculations synchronously blocking scroll and input,High
41,Performance,Route Groups,nextjs route groups layout sharing,Use Next.js route groups (folder) for shared layouts without URL segment,Create (auth) folder to share auth layout without adding /auth to URL,Creating wrapper pages just to share layouts adding URL segments,Medium
42,Performance,Partial prerendering,ppr nextjs partial prerender static dynamic,Use Next.js PPR to serve static shell instantly and stream dynamic content,Add experimental.ppr: true in next.config.js,Full dynamic rendering for pages that are mostly static content,High
43,Monitoring,React DevTools Profiler,profiler react devtools performance measure,Use React DevTools Profiler to find actual rerender bottlenecks before optimizing,Record a flame graph; look for components with many rerenders or long render time,Guessing which components need memoization without profiling,High
