id,name,industry,keywords,primary,secondary,accent,background,surface,text,text_secondary,border,success,error,warning,dark_primary,dark_background,dark_surface,dark_text,notes
15,Education Purple,Education,education learning students knowledge,#7C3AED,#6D28D9,#A78BFA,#FAF5FF,#FFFFFF,#4C1D95,#5B21B6,#EDE9FE,#16A34A,#EF4444,#F59E0B,#C4B5FD,#2E1065,#4C1D95,#F5F3FF,Intellectual education palette
16,Sunny Education Yellow,Education,education kids learning fun yellow bright,#D97706,#B45309,#FCD34D,#FFFBEB,#FFFFFF,#78350F,#92400E,#FDE68A,#16A34A,#EF4444,#F59E0B,#FCD34D,#451A03,#78350F,#FEF9EE,Fun kid-friendly education
17,Crypto Gold Dark,Crypto,crypto bitcoin gold dark blockchain,#D4A017,#B8860B,#F5D062,#0A0A0A,#1A1A1A,#F5F5F5,#A0A0A0,#2A2A2A,#16A34A,#EF4444,#F59E0B,#FFD700,#000000,#111111,#FFFFFF,Dark crypto gold palette
18,Crypto Blue Digital,Crypto,crypto blockchain digital blue tech,#3B82F6,#1D4ED8,#60A5FA,#0F172A,#1E293B,#F1F5F9,#94A3B8,#334155,#22C55E,#EF4444,#F59E0B,#93C5FD,#020617,#0F172A,#E2E8F0,Digital crypto tech palette
19,Legal Navy,Legal,legal law attorney professional navy,#1E3A5F,#0F2744,#2563EB,#F8FAFC,#FFFFFF,#0F172A,#334155,#E2E8F0,#16A34A,#EF4444,#D97706,#3B82F6,#0A1628,#0F172A,#F1F5F9,Authoritative legal palette
20,Automotive Black Silver,Automotive,automotive cars luxury black silver prestige,#1A1A1A,#2D2D2D,#9CA3AF,#F5F5F5,#FFFFFF,#111111,#333333,#E5E5E5,#16A34A,#EF4444,#F59E0B,#D1D5DB,#000000,#111111,#F9FAFB,Premium automotive palette
21,Gaming Neon,Gaming,gaming neon dark electric vibrant esports,#9333EA,#7C3AED,#22D3EE,#050505,#111111,#F9FAFB,#A3A3A3,#1F1F1F,#22C55E,#EF4444,#F59E0B,#C084FC,#000000,#070707,#FAFAFA,Vibrant gaming neon palette
22,Music Dark Purple,Music,music streaming dark purple atmospheric,#6D28D9,#5B21B6,#A78BFA,#0F0B1F,#1A1535,#F5F3FF,#9CA3AF,#2D2550,#16A34A,#EF4444,#F59E0B,#C4B5FD,#070312,#0F0B1F,#EDE9FE,Atmospheric music platform palette
23,AI Indigo Cyan,AI Technology,ai artificial intelligence indigo cyan tech,#4F46E5,#4338CA,#06B6D4,#F8FAFF,#FFFFFF,#1E1B4B,#312E81,#E0E7FF,#16A34A,#EF4444,#F59E0B,#818CF8,#1E1B4B,#0F0E2E,#EEF2FF,Modern AI tech palette
24,Nonprofit Warm Green,Nonprofit,nonprofit charity warm green compassion,#16A34A,#15803D,#4ADE80,#FAFDF7,#FFFFFF,#14532D,#052E16,#BBF7D0,#16A34A,#EF4444,#CA8A04,#4ADE80,#052E16,#063813,#ECFDF5,Compassionate nonprofit palette
25,Luxury Black Gold,Luxury,luxury premium black gold exclusive,#0A0A0A,#1A1A1A,#C9A84C,#FAF9F6,#FFFFFF,#0A0A0A,#2D2D2D,#E5E5E5,#16A34A,#EF4444,#F59E0B,#D4AF37,#000000,#0A0A0A,#F5F5F5,Supreme luxury brand palette
26,E-commerce Coral,E-commerce,ecommerce shop retail product orange,#F97316,#EA580C,#FED7AA,#FFF7ED,#FFFFFF,#1C1917,#44403C,#E7E5E4,#22C55E,#EF4444,#EAB308,#FDBA74,#0C0A09,#1C1917,#FFF7ED,Friendly shopping palette
27,E-commerce Blue,E-commerce,ecommerce shop cart trusted blue,#2563EB,#1D4ED8,#93C5FD,#F8FAFC,#FFFFFF,#1E3A5F,#1E40AF,#DBEAFE,#16A34A,#EF4444,#F59E0B,#60A5FA,#1E3A5F,#1E293B,#EFF6FF,Trusted e-commerce palette
28,Portfolio Mono,Portfolio,portfolio designer minimal clean,#171717,#262626,#525252,#FAFAFA,#FFFFFF,#171717,#525252,#D4D4D4,#22C55E,#EF4444,#F59E0B,#737373,#171717,#1A1A1A,#F5F5F5,Minimal designer portfolio
29,Startup Vibrant,Startup,startup product launch vibrant purple,#8B5CF6,#7C3AED,#34D399,#F5F3FF,#FFFFFF,#2D1B69,#4C1D95,#EDE9FE,#16A34A,#EF4444,#F59E0B,#A78BFA,#1E0D3F,#2E1065,#F5F3FF,Energetic startup palette
30,Dark SaaS Pro,SaaS,saas dark professional dashboard,#3B82F6,#2563EB,#60A5FA,#030712,#0F172A,#F8FAFC,#94A3B8,#1E293B,#22C55E,#EF4444,#F59E0B,#60A5FA,#020617,#020617,#F1F5F9,Dark professional SaaS
31,Analytics Slate,Analytics,analytics data dashboard slate professional,#0F172A,#1E293B,#3B82F6,#F8FAFC,#FFFFFF,#0F172A,#475569,#CBD5E1,#22C55E,#EF4444,#F59E0B,#38BDF8,#020617,#0F172A,#E2E8F0,Data-forward analytics palette
32,Wellness Sage,Wellness,wellness mental health calm serene sage,#84CC16,#65A30D,#BEF264,#F7FEE7,#FFFFFF,#1A2E05,#365314,#D9F99D,#16A34A,#EF4444,#CA8A04,#A3E635,#0F1A00,#1A2E05,#ECFDF5,Calming wellness palette
33,Spa Lavender,Spa Wellness,spa wellness relaxation lavender purple,#A855F7,#9333EA,#C084FC,#FAF5FF,#FFFFFF,#3B0764,#581C87,#F3E8FF,#16A34A,#EF4444,#F59E0B,#D8B4FE,#270044,#3B0764,#FAF5FF,Luxurious spa lavender
34,Travel Adventure,Travel,travel adventure outdoors wilderness exploration,#92400E,#78350F,#F97316,#FFFBEB,#FFFFFF,#451A03,#78350F,#FDE68A,#16A34A,#EF4444,#D97706,#FB923C,#1C0700,#451A03,#FEF9EE,Earthy adventure travel
35,Meditation Teal,Meditation,meditation mindfulness calm teal serene,#0D9488,#0F766E,#2DD4BF,#F0FDFA,#FFFFFF,#042F2E,#0F4540,#CCFBF1,#16A34A,#EF4444,#F59E0B,#5EEAD4,#011A1A,#042F2E,#F0FDFA,Serene meditation palette
36,Kids Playful Rainbow,Kids,kids children playful colorful fun bright,#F59E0B,#D97706,#EF4444,#FFFBEB,#FFFFFF,#1C1917,#44403C,#FEF3C7,#22C55E,#EF4444,#F59E0B,#FCD34D,#0C0A09,#1C1917,#FFFBEB,Playful colorful children palette
37,Nature Green,Sustainability,eco green nature organic sustainability,#166534,#14532D,#22C55E,#F0FDF4,#FFFFFF,#052E16,#14532D,#DCFCE7,#16A34A,#EF4444,#CA8A04,#4ADE80,#011A0A,#052E16,#F0FDF4,Natural organic sustainability
38,Sky Blue Productivity,Productivity,productivity tools focus calm sky blue,#0EA5E9,#0284C7,#38BDF8,#F0F9FF,#FFFFFF,#0C4A6E,#075985,#BAE6FD,#16A34A,#EF4444,#F59E0B,#7DD3FC,#082F49,#0C4A6E,#E0F2FE,Focused productivity palette
39,Enterprise Grey Blue,Enterprise,enterprise corporate b2b grey blue,#3B82F6,#2563EB,#60A5FA,#F8FAFC,#FFFFFF,#1E293B,#334155,#E2E8F0,#22C55E,#EF4444,#F59E0B,#93C5FD,#0F172A,#1E293B,#F1F5F9,Professional enterprise palette
40,Fashion Black White,Fashion,fashion minimal editorial black white,#171717,#262626,#FAFAFA,#FFFFFF,#FFFFFF,#0A0A0A,#737373,#E5E5E5,#22C55E,#EF4444,#F59E0B,#D4D4D4,#0A0A0A,#171717,#FAFAFA,Editorial fashion palette
41,Luxury Champagne,Luxury,luxury champagne gold warm premium,#92713C,#7A5F30,#D4A853,#FDFBF6,#FFFFFF,#1C1410,#3D2B1A,#F5EDD5,#16A34A,#EF4444,#F59E0B,#C9A97A,#0A0806,#1C1410,#FDF9F0,Warm luxury champagne
42,Social Purple,Social,social media community sharing connection,#7C3AED,#6D28D9,#EC4899,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#F3E8FF,#16A34A,#EF4444,#F59E0B,#C4B5FD,#1E0A3F,#2E1065,#FAF5FF,Vibrant social media palette
43,Engineering Dark,Developer,developer engineering dark code terminal,#10B981,#059669,#34D399,#0A0F0A,#0F1F17,#F0FDF4,#71717A,#1F2D24,#22C55E,#EF4444,#F59E0B,#6EE7B7,#050A05,#0A0F0A,#ECFDF5,Terminal engineering palette
44,Photography Black,Photography,photography dark cinematic black portfolio,#D4D4D4,#A3A3A3,#FAFAFA,#0A0A0A,#171717,#FAFAFA,#A3A3A3,#262626,#22C55E,#EF4444,#F59E0B,#F5F5F5,#000000,#0A0A0A,#F5F5F5,Dramatic photography portfolio
45,Restaurant Warm,Restaurant,restaurant dining food warm inviting,#B45309,#92400E,#FCD34D,#FFFBEB,#FFFFFF,#1C0A00,#451A03,#FEF3C7,#16A34A,#EF4444,#D97706,#F59E0B,#0A0400,#1C0A00,#FFFBEB,Warm welcoming restaurant
46,Automotive Red,Automotive,automotive sports car performance red,#DC2626,#B91C1C,#EF4444,#1A1A1A,#2D2D2D,#FAFAFA,#D1D5DB,#404040,#22C55E,#EF4444,#F59E0B,#F87171,#0A0A0A,#111111,#F9FAFB,Performance automotive red
47,Tech Startup Gradient,Tech Startup,tech startup modern gradient vibrant,#6366F1,#4F46E5,#EC4899,#FAFAFE,#FFFFFF,#1E1B4B,#312E81,#E0E7FF,#22C55E,#EF4444,#F59E0B,#818CF8,#13112E,#1E1B4B,#F0F0FF,Modern tech startup palette
48,News Monochrome,News Media,news media journalism monochrome clean,#171717,#262626,#525252,#F5F5F5,#FFFFFF,#0A0A0A,#525252,#D4D4D4,#16A34A,#EF4444,#D97706,#737373,#0A0A0A,#171717,#FAFAFA,Clean journalistic palette
49,Event Vibrant,Events,events conference party entertainment vibrant,#F43F5E,#E11D48,#FB923C,#FFF1F2,#FFFFFF,#4C0519,#881337,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FB7185,#2D0010,#4C0519,#FFF5F6,Energetic event palette
50,Education Dark,Education,education online learning dark mode,#8B5CF6,#7C3AED,#A78BFA,#0F0E1E,#1A1833,#EDE9FE,#A78BFA,#2D2850,#22C55E,#EF4444,#F59E0B,#C4B5FD,#070512,#0F0E1E,#F5F3FF,Dark mode education
51,Real Estate Slate,Real Estate,real estate property modern slate,#0F172A,#1E293B,#3B82F6,#F8FAFC,#FFFFFF,#0F172A,#475569,#E2E8F0,#22C55E,#EF4444,#F59E0B,#60A5FA,#020617,#0F172A,#E2E8F0,Clean real estate
52,Detailing Midnight,Automotive Detailing,automotive detailing luxury premium dark midnight,#1A1A2E,#16213E,#C9A84C,#F5F5F5,#FFFFFF,#0A0A14,#1A1A2E,#E8E8EC,#22C55E,#EF4444,#D97706,#D4AF37,#05050A,#0D0D1A,#FAFAFA,Premium automotive detailing dark palette
53,Detailing Silver,Automotive Detailing,car detailing silver chrome professional,#6B7280,#4B5563,#F97316,#F9FAFB,#FFFFFF,#111827,#374151,#E5E7EB,#22C55E,#EF4444,#F59E0B,#9CA3AF,#030712,#111827,#F9FAFB,Professional detailing silver palette
54,Detailing Obsidian,Automotive Detailing,detailing luxury obsidian black prestige polish,#0A0A0A,#111111,#B8860B,#FAFAFA,#FFFFFF,#050505,#1A1A1A,#E0E0E0,#22C55E,#EF4444,#F59E0B,#DAA520,#000000,#050505,#F5F5F5,Ultra premium obsidian palette
55,Minimalist Neutral,General,minimalist neutral clean simple modern,#525252,#404040,#0EA5E9,#FAFAFA,#FFFFFF,#171717,#525252,#E5E5E5,#22C55E,#EF4444,#F59E0B,#9CA3AF,#171717,#1A1A1A,#F5F5F5,Versatile neutral minimal palette
56,Nordic Blue,Scandinavian,nordic scandinavian clean minimal blue cold,#3B5998,#2E4482,#7EB0D4,#F0F4F8,#FFFFFF,#1A2744,#2D3D6A,#C5D5E8,#22C55E,#EF4444,#F59E0B,#93A8C8,#0D1A2E,#1A2744,#EDF2F8,Nordic Scandinavian design
57,Warm Terracotta,Lifestyle,lifestyle warm terracotta earthy cozy,#C2693C,#A85230,#F5A978,#FDF7F3,#FFFFFF,#4A1E0A,#7A3820,#F5DDD0,#16A34A,#EF4444,#D97706,#E88A62,#2A0D04,#4A1E0A,#FEF4EF,Warm lifestyle terracotta
58,Dark Emerald,Premium,premium dark emerald exclusive night,#065F46,#047857,#10B981,#021A12,#032B1C,#ECFDF5,#6EE7B7,#064E3B,#16A34A,#EF4444,#F59E0B,#34D399,#011009,#021A12,#D1FAE5,Exclusive dark emerald
59,Warm Cream,Lifestyle,lifestyle organic cream warm soft minimal,#92400E,#78350F,#F59E0B,#FFFCF5,#FFFFFF,#1C0A00,#44403C,#F5E9D0,#16A34A,#EF4444,#D97706,#F59E0B,#0A0500,#1C1410,#FFFDF7,Warm organic cream palette
60,Bold Primary,Creative,creative bold primary colors playful,#DC2626,#B91C1C,#3B82F6,#FAFAFA,#FFFFFF,#0A0A0A,#404040,#E5E5E5,#16A34A,#EF4444,#F59E0B,#2563EB,#000000,#111111,#FAFAFA,Bold primary color palette
61,Electric Purple,Creative,creative electric purple vibrant modern,#7C3AED,#6D28D9,#C026D3,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#16A34A,#EF4444,#F59E0B,#A855F7,#1E0A3F,#2E1065,#F5F3FF,Electric creative purple
62,Arctic Ice,Technology,tech arctic ice cold blue white,#BAE6FD,#7DD3FC,#0EA5E9,#F0F9FF,#FFFFFF,#0C4A6E,#0369A1,#E0F2FE,#16A34A,#EF4444,#F59E0B,#38BDF8,#082F49,#0C4A6E,#E0F2FE,Cool arctic technology
63,Organic Earth,Sustainability,organic earth natural brown green,#78350F,#92400E,#16A34A,#FEFCE8,#FFFFFF,#1C0A00,#3D1A00,#FEF3C7,#16A34A,#EF4444,#CA8A04,#F59E0B,#0A0400,#1C0A00,#FEFCE8,Natural organic earth tones
64,Pink Millennial,Consumer,millennial pink blush lifestyle consumer,#F9A8D4,#F472B6,#EC4899,#FFF1F2,#FFFFFF,#831843,#9D174D,#FCE7F3,#16A34A,#EF4444,#F59E0B,#FCA5A5,#4C0519,#881337,#FDF2F8,Millennial pink consumer
65,Business Blue Gray,Business,business professional blue gray corporate,#1E40AF,#1D4ED8,#6B7280,#F9FAFB,#FFFFFF,#111827,#374151,#E5E7EB,#22C55E,#EF4444,#F59E0B,#60A5FA,#030712,#111827,#F9FAFB,Solid business palette
66,Food Blog Warm,Food,food blog recipe warm photography,#D97706,#B45309,#F97316,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#F59E0B,#FCD34D,#1C0700,#451A03,#FFFBEB,Warm food blog palette
67,Dark Admin,Admin,admin dashboard dark professional,#1D4ED8,#1E3A8A,#3B82F6,#111827,#1F2937,#F9FAFB,#9CA3AF,#374151,#22C55E,#EF4444,#F59E0B,#60A5FA,#030712,#111827,#F9FAFB,Dark admin dashboard
68,Glassmorphism Purple,Design,glassmorphism purple gradient frosted,#7C3AED,#6D28D9,#A78BFA,#1A0D3D,#2D1B69,#F5F3FF,#C4B5FD,#3D2B8A,#22C55E,#EF4444,#F59E0B,#DDD6FE,#0D0519,#1A0D3D,#EDE9FE,Glassmorphism purple scheme
69,Vintage Brown,Vintage,vintage retro warm brown nostalgic,#92400E,#78350F,#B45309,#FFFBEB,#FFFFF0,#1C0A00,#44403C,#F5E6C8,#16A34A,#EF4444,#D97706,#D97706,#0A0400,#1C0A00,#FFFBEB,Warm vintage brown tones
70,Neon Dark Tech,Technology,neon dark tech cyberpunk electric,#00D4FF,#00B8D9,#7B2FBE,#050510,#0A0A1E,#E0F9FF,#9BA4B5,#1A1A35,#22C55E,#EF4444,#F59E0B,#40E0FF,#020208,#050510,#E0F9FF,Cyberpunk neon tech
71,Warm Sand,Neutral,neutral warm sand minimal clean,#D6C8A8,#C4B490,#A0855A,#FAFAF5,#FFFFFF,#3D2B15,#6B5633,#EDE3D0,#16A34A,#EF4444,#D97706,#C4A882,#1A1005,#2D2010,#F5F2EC,Warm sandy neutral
72,Industrial Steel,Industrial,industrial steel dark grey professional,#64748B,#475569,#0EA5E9,#F1F5F9,#FFFFFF,#0F172A,#334155,#CBD5E1,#22C55E,#EF4444,#F59E0B,#94A3B8,#020617,#0F172A,#F1F5F9,Industrial steel palette
73,Fresh Mint,Health,fresh mint clean health wellness,#10B981,#059669,#34D399,#F0FDF4,#FFFFFF,#022C22,#065F46,#A7F3D0,#16A34A,#EF4444,#CA8A04,#6EE7B7,#011A14,#022C22,#ECFDF5,Fresh mint health
74,Electric Yellow,Creative,creative electric yellow vibrant bold,#EAB308,#CA8A04,#FDE047,#FEFCE8,#FFFFFF,#422006,#713F12,#FEF9C3,#16A34A,#EF4444,#D97706,#FACC15,#1C0A00,#422006,#FEFCE8,Vibrant electric yellow
75,Luxury Navy Gold,Luxury,luxury navy gold premium exclusive,#0A1628,#0F2744,#C9A84C,#F8F8F0,#FFFFFF,#050D18,#1E3A5F,#D4D0C4,#16A34A,#EF4444,#D97706,#D4AF37,#020710,#050D18,#F5F4EE,Ultimate luxury navy gold
76,Feminine Rose,Lifestyle,feminine rose soft lifestyle gentle,#FB7185,#F43F5E,#FCA5A5,#FFF5F6,#FFFFFF,#4C0519,#881337,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FCA5A5,#2D0010,#4C0519,#FFF5F6,Soft feminine rose
77,Desert Sand,Lifestyle,desert sand earthy southwestern warm,#D97706,#B45309,#92400E,#FFFBEB,#FFFFF0,#1C0700,#44403C,#FDE68A,#16A34A,#EF4444,#D97706,#F59E0B,#0A0400,#1C0700,#FFFBEB,Earthy southwestern desert
78,Midnight Ocean,Premium,premium midnight ocean deep dark blue,#0C4A6E,#0A3D5C,#0EA5E9,#020B14,#051826,#E0F2FE,#7DD3FC,#0C2D45,#22C55E,#EF4444,#F59E0B,#38BDF8,#010609,#020B14,#E0F2FE,Deep ocean midnight premium
79,Pastel Spring,Consumer,spring pastel light gentle fresh consumer,#86EFAC,#4ADE80,#FDA4AF,#F0FDF4,#FFFFFF,#052E16,#14532D,#DCFCE7,#16A34A,#EF4444,#F59E0B,#86EFAC,#022C16,#052E16,#F0FDF4,Fresh spring pastels
80,Charcoal Minimal,Minimal,minimal charcoal dark elegant clean,#262626,#171717,#525252,#FAFAFA,#FFFFFF,#0A0A0A,#404040,#E5E5E5,#22C55E,#EF4444,#F59E0B,#737373,#000000,#0A0A0A,#F5F5F5,Charcoal minimal elegant
81,Cyber Pink,Tech,cyber pink futuristic tech modern,#EC4899,#DB2777,#F0ABFC,#1A0528,#2D0A45,#FDF4FF,#C084FC,#3D1260,#22C55E,#EF4444,#F59E0B,#F0ABFC,#0D0215,#1A0528,#FDF4FF,Cyber pink futuristic
82,Forest Deep,Nature,nature forest deep green dark,#15803D,#166534,#4ADE80,#071A0D,#0D2B18,#ECFDF5,#6EE7B7,#1A4D2E,#16A34A,#EF4444,#CA8A04,#4ADE80,#030D06,#071A0D,#DCFCE7,Deep forest green
83,Lavender Dream,Wellness,lavender dream wellness soft purple,#C4B5FD,#A78BFA,#7C3AED,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#16A34A,#EF4444,#F59E0B,#DDD6FE,#1E0A3F,#2E1065,#F5F3FF,Dreamy lavender wellness
84,Modern Orange,Tech,modern orange tech bold startup,#EA580C,#C2410C,#F97316,#FFFAF0,#FFFFFF,#1C0A00,#7C2D12,#FFEDD5,#16A34A,#EF4444,#D97706,#FB923C,#0A0400,#1C0A00,#FFF7ED,Bold modern orange tech
85,Cobalt Professional,Professional,professional cobalt blue executive,#1E40AF,#1E3A8A,#3B82F6,#EFF6FF,#FFFFFF,#1E1B4B,#1E3A8A,#DBEAFE,#16A34A,#EF4444,#F59E0B,#60A5FA,#0F0E2E,#1E1B4B,#EFF6FF,Executive cobalt professional
86,Rose Quartz,Luxury,luxury rose quartz pink premium soft,#E879A0,#CF6489,#FCA5A5,#FFF5F7,#FFFFFF,#4A1828,#7A2D4A,#FFDDE5,#16A34A,#EF4444,#F59E0B,#F9A8C4,#2D0A16,#4A1828,#FFF2F5,Luxury rose quartz
87,Ink Black,Typography,typography ink black editorial bold,#000000,#0A0A0A,#1A1A1A,#FFFFFF,#FAFAFA,#000000,#404040,#E0E0E0,#22C55E,#EF4444,#F59E0B,#333333,#000000,#000000,#FFFFFF,Pure typographic ink
88,Ocean Gradient,Travel,travel ocean gradient turquoise blue,#06B6D4,#0891B2,#0EA5E9,#ECFEFF,#FFFFFF,#083344,#164E63,#A5F3FC,#22C55E,#EF4444,#F59E0B,#22D3EE,#042B35,#083344,#CFFAFE,Ocean travel gradient
89,Warm Beige,Interior,interior design warm beige neutral,#D6A97C,#BE8A60,#F5C897,#FEFAF5,#FFFFFF,#3D2010,#6B3C1C,#F5E0CA,#16A34A,#EF4444,#D97706,#E8C09A,#1A0A05,#3D2010,#FDF5EC,Warm interior beige
90,Steel Blue,Corporate,corporate steel blue reliable clean,#3B6E9C,#2D5A84,#60A5FA,#F0F6FC,#FFFFFF,#0D2137,#1E3F5A,#C8DCEC,#16A34A,#EF4444,#F59E0B,#7EB8DC,#060F1A,#0D2137,#E8F0F8,Reliable corporate steel blue
91,Emerald Success,SaaS,saas success metrics growth positive,#10B981,#059669,#34D399,#ECFDF5,#FFFFFF,#022C22,#065F46,#A7F3D0,#16A34A,#EF4444,#CA8A04,#6EE7B7,#011A14,#022C22,#DCFCE7,Growth-positive SaaS
92,Violet Dev,Developer,developer tools violet clean modern,#7C3AED,#6D28D9,#8B5CF6,#F5F3FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#22C55E,#EF4444,#F59E0B,#A78BFA,#1E0A3F,#2E1065,#F5F3FF,Developer tools violet
93,Amber Gold,Food,food premium amber gold warm,#D97706,#B45309,#F59E0B,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#FCD34D,#1C0700,#451A03,#FFFBEB,Premium food amber gold
94,Sky Fresh,Consumer,consumer fresh sky light clean,#0EA5E9,#0284C7,#BAE6FD,#F0F9FF,#FFFFFF,#0C4A6E,#0369A1,#E0F2FE,#16A34A,#EF4444,#F59E0B,#7DD3FC,#082F49,#0C4A6E,#E0F2FE,Fresh sky consumer palette
95,Luxury Plum,Luxury,luxury plum velvet exclusive,#6B21A8,#581C87,#A855F7,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#F3E8FF,#16A34A,#EF4444,#F59E0B,#C084FC,#1E0A3F,#2E1065,#FAF5FF,Luxurious plum velvet
96,Tech Blue Green,Technology,tech modern blue green gradient,#0D9488,#0F766E,#2563EB,#F0FDFA,#FFFFFF,#042F2E,#0F4540,#CCFBF1,#22C55E,#EF4444,#F59E0B,#5EEAD4,#011A1A,#042F2E,#E0F2FE,Tech gradient palette
97,Autumn Harvest,Seasonal,autumn harvest warm seasonal lifestyle,#B45309,#92400E,#DC2626,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#F59E0B,#1C0700,#451A03,#FEF9EE,Warm autumn harvest
98,Midnight Purple,Premium,premium midnight purple dark elegant,#1E0052,#300A7A,#7C3AED,#0D021A,#1A0430,#F5F3FF,#C4B5FD,#2D1060,#22C55E,#EF4444,#F59E0B,#A78BFA,#070010,#0D021A,#EDE9FE,Elegant midnight purple
99,Coral Blush,Consumer,coral blush consumer modern warm,#F87171,#EF4444,#FDA4AF,#FFF5F5,#FFFFFF,#450A0A,#7F1D1D,#FEE2E2,#16A34A,#EF4444,#F59E0B,#FCA5A5,#270606,#450A0A,#FFF5F5,Warm coral blush consumer
100,Silver Tech,Technology,tech silver modern precise clean,#9CA3AF,#6B7280,#3B82F6,#F9FAFB,#FFFFFF,#111827,#374151,#E5E7EB,#22C55E,#EF4444,#F59E0B,#9CA3AF,#030712,#111827,#F9FAFB,Precise silver technology
