id,product_keyword,style_match,color_match,typography_match,reason,anti_pattern
22,music,dark atmospheric,Music Dark Purple Dark Editorial Midnight Purple,Space Grotesk + DM Sans,Music platforms need atmosphere and emotion; dark mode is standard for music; purple creates artistic vibe; imagery drives mood,clinical white loud brutalism (wrong atmosphere for music)
23,portfolio,editorial minimal,Portfolio Mono Charcoal Minimal,Clash Display + Satoshi,Portfolios need work to be hero; minimal design lets work shine; high-contrast editorial makes work pop; clean grid showcases projects,cluttered playful (distracts from the work being shown)
24,startup landing,gradient aurora,Startup Vibrant Tech Startup Gradient,Bricolage Grotesque + DM Sans,Startup landing pages need to differentiate and excite; aurora/gradient feels modern and innovative; expressive variable heading is distinctive,plain corporate (fails to create excitement for new product)
25,enterprise,corporate clean,Enterprise Grey Blue Business Blue Gray Cobalt Professional,Plus Jakarta Sans + Source Sans 3,Enterprise buyers need confidence stability and trustworthiness; structured corporate palette; professional typography signals reliability,playful claymorphism gaming aesthetic (loses enterprise credibility)
26,legal,corporate formal,Legal Navy Dark Navy Ink Blue,Cinzel + Raleway,Legal services demand authority precision and formality; navy conveys establishment trust; classical serif options reinforce professionalism,brutalism neon playful (undermines legal authority)
27,real estate,image-editorial,Real Estate Slate Midnight Ocean Nordic Blue,Plus Jakarta Sans + Source Sans 3,Real estate sells properties via imagery; editorial layout showcases photos; slate/neutral palette is versatile; professional sans for trust,playful claymorphism (wrong for major financial purchase decisions)
28,automotive,dark luxury premium,Automotive Black Silver Detailing Midnight Detailing Obsidian,Big Shoulders Display + Roboto,Automotive products need performance prestige; dark editorial with silver/chrome; condensed bold display for impact; systematic body text,pastel friendly rounded (wrong for automotive premium appeal)
29,automotive detailing,dark luxury premium,Detailing Midnight Detailing Obsidian Automotive Black Silver,Clash Display + Satoshi,Detailing services sell perfection attention-to-detail and premium; dark palette with gold/silver accents; bold yet refined typography signals expertise and care,playful claymorphism flat design (too casual for premium service)
30,crypto exchange,dark technical,Crypto Dark Digital Neon Dark Blue,Space Grotesk + DM Mono,Exchanges need technical precision and market-data clarity; dark mode reduces eye strain during trading; mono for data values; bold body text for readability,soft pastel (completely wrong for trading platform)
31,nft marketplace,dark gallery,NFT Dark Gallery Crypto Dark,Unbounded + Inter,NFT platforms bridge art and technology; dark gallery aesthetic lets art shine; ultra-wide Unbounded heading is distinctively web3; clean body,clinical white corporate (lacks web3 aesthetic authenticity)
32,ai tool,aurora minimal,AI Indigo Cyan Clean White SaaS Aurora,Geist + Inter,AI tools need modern futuristic feel balanced with usability; aurora gradient signals innovation; Geist is Vercel/AI-adjacent; indigo-cyan palette feels advanced,outdated skeuomorphism heavy decoration (contradicts AI modernity)
33,productivity app,clean minimal,Sky Blue Productivity Clean White SaaS,Geist + Inter,Productivity apps need clarity and minimal distraction; clean interface keeps focus on tasks; neutral palette reduces visual noise,gaming neon heavy shadow (distracts from focused work)
34,project management,structured bento,Analytics Slate Dark Admin Enterprise Grey Blue,Space Grotesk + DM Sans,Project management needs information hierarchy and team collaboration; bento grid organizes status; structured typography for scanability,decorative artistic styles (impede task-oriented workflow)
35,crm,clean data,Enterprise Grey Blue Cobalt Professional,IBM Plex Sans + Source Code Pro,CRM requires data density and quick scanning; clean systematic design; IBM Plex signals precision; structured grid for records,decorative artistic styles that obscure data relationships
36,nonprofit,warm storytelling,Nonprofit Warm Green Warm Terracotta,Fraunces + Manrope,Nonprofits need emotional connection and trust; warm green signals growth hope; storytelling-oriented design builds empathy; editorial serif adds gravitas,corporate cold dark (reduces emotional connection and donations)
37,e-commerce,product-forward,E-commerce Coral E-commerce Blue Fashion Black White,Montserrat + Open Sans,E-commerce must showcase products clearly; clean grid with strong product photography; trusted blue or warm coral drives purchase; readable body text for descriptions,heavy decoration that competes with product imagery
38,fashion,editorial luxury,Fashion Black White Luxury Champagne Rose Quartz,Playfair Display + Lato,Fashion is aspirational and visual; editorial black/white lets product shine; luxury palette for premium positioning; high-contrast serif heading signals fashion authority,overly technical corporate (misses fashion aesthetic entirely)
39,luxury,editorial minimal,Luxury Black Gold Dark Luxury Gold Luxury Plum,Cormorant Garamond + Jost,Luxury brands sell exclusivity; less is more; generous whitespace; gold accents; ultra-high-contrast serif typography; no noise or clutter,playful claymorphism brutalism (completely wrong for luxury positioning)
40,marketplace,searchable clean,E-commerce Blue Analytics Slate,Plus Jakarta Sans + Source Sans 3,Marketplaces need strong search/filter UI; clean grid for product scanning; blue builds trust for transactions; systematic typography for quick reading,heavy artistic decoration that impedes product discovery
41,developer tools,dark terminal,Engineering Dark Dark Admin Violet Dev,Geist + JetBrains Mono,Developers prefer dark mode; monospace font for code; minimal decorative elements; green/teal on dark is familiar terminal aesthetic; high information density,pastel playful (loses developer audience immediately)
42,documentation,clean minimal,Clean White SaaS Slate Professional,Lexend + Inter,Documentation needs pure readability and navigation; minimal design; high contrast; generous line height; predictable hierarchy; search is critical,heavy glassmorphism artistic styles that distract from reading
43,blog,editorial warm,Food Blog Warm Nordic Blue warm paper,Merriweather + Open Sans,Blogs need high reading comfort and strong typographic hierarchy; serif heading with readable sans body; warm neutral palette; moderate line length,data-heavy dashboard layout (wrong for reading experience)
44,news,editorial structured,News Monochrome Ink Black,Oswald + Source Sans 3,News requires information density and trust; structured grid; limited color for credibility; condensed headings for impact; systematic body text,playful colorful glassmorphism (undermines journalistic authority)
45,events,energetic vibrant,Event Vibrant Warm Sunset,Sora + Nunito,Events create anticipation and excitement; vibrant coral/pink; countdown timers; energetic design; rounded approachable type,clinical corporate (misses excitement and anticipation of events)
46,booking,clean trustworthy,Ocean SaaS Blue Sky Blue Productivity,Plus Jakarta Sans + Source Sans 3,Booking platforms need trust and clear process; blue signals reliability; clean step-by-step flow; clear pricing,heavy artistic decoration that creates confusion in booking flow
47,streaming,dark immersive,Night Sky Music Dark Purple Dark Editorial,DM Serif Display + DM Sans,Streaming platforms create immersive experience; dark background makes content pop; atmospheric palette; editorial serif for titles,clinical white (reduces immersion and loses media atmosphere)
48,insurance,corporate trustworthy,Enterprise Grey Blue Cobalt Professional,IBM Plex Sans + Source Sans 3,Insurance requires trust and clarity; corporate blue communicates stability; systematic clean design; clear readable type for policy details,playful casual (insurance must convey seriousness and reliability)
49,investment,sophisticated minimal,Gold Rush Luxury Navy Gold Midnight Blue,Cormorant Garamond + Jost,Investment platforms appeal to wealth aspirations; gold palette signals prosperity; sophisticated serif heading for premium feel; clean body text,playful colors (wrong for serious wealth management)
50,sustainability,organic natural,Nature Green Organic Earth Deep Forest,Fraunces + Manrope,Sustainability needs authentic nature connection; earth tones signal genuineness; organic typography; no plastic-looking design elements,synthetic neon dark industrial (contradicts natural sustainable message)
51,cleaning service,clean minimal light,Clinical White Healthcare Clean White SaaS,Cabin + Lato,Cleaning services must communicate cleanliness and reliability; white/light palette visually represents cleanliness; approachable humanist type; clear structured layout,dark mode heavy texture (contradicts cleanliness message)
52,service business,clean professional,Premium Service Detailing Silver,Plus Jakarta Sans + Source Sans 3,Service businesses need trustworthiness and professionalism; clean structured layout; professional palette; clear value proposition and contact CTA,artistic experimental (may confuse local service audience)
