id,category,rule,priority,description,do,dont,platform,reference
18,Touch Interaction,gesture-conflicts,HIGH,Avoid gesture conflicts between app and system gestures,Design swipe interactions that don't conflict with back gesture or Control Center,Use horizontal swipe on full-screen modal that conflicts with back navigation,iOS/Android,Apple HIG
19,Touch Interaction,haptic-feedback,MEDIUM,Use haptic feedback for key confirmations and important state changes,Trigger impact haptic on successful form submit; notification haptic for alerts,Overuse haptic for every small interaction or decorative moments,iOS,Apple HIG
20,Touch Interaction,safe-area-awareness,CRITICAL,Respect device safe areas; keep content away from notch Dynamic Island and home indicator,Use SafeAreaView or CSS env(safe-area-inset) to pad content,Place buttons or content under notch or home indicator gesture bar,iOS/Android,Apple HIG
21,Performance,image-optimization,HIGH,Use modern formats WebP/AVIF; implement responsive images with srcset,Serve WebP with JPEG fallback; use next/image for automatic optimization,Serve unoptimized raw PNG/JPEG at full resolution,Web,Core Web Vitals
22,Performance,lazy-loading,HIGH,Lazy load images and components below the fold,Add loading="lazy" to images; use React.lazy for route splitting,Eagerly load all images and all JavaScript on initial page load,Web,Core Web Vitals
23,Performance,virtualize-lists,HIGH,Virtualize lists with 50 or more items,Use FlatList on React Native; react-window or TanStack Virtual on web,Render all 500 list items into DOM simultaneously,Web/Mobile,Performance
24,Performance,content-jumping,HIGH,Reserve space for async content to prevent CLS (Cumulative Layout Shift),Set explicit width/height on images; skeleton screens for loading content,Load content that pushes page elements causing layout jump,Web,Core Web Vitals
25,Performance,bundle-splitting,HIGH,Split JavaScript bundles by route to reduce initial load time,Use Next.js dynamic() or React.lazy + Suspense for route-level splitting,Load entire application JavaScript bundle on first page visit,Web,Performance
26,Performance,font-loading,HIGH,Prevent invisible text during font loading using font-display swap,Add font-display:swap in @font-face; preload critical fonts in head,Leave default font-display which causes FOIT (Flash Of Invisible Text),Web,Core Web Vitals
27,Performance,debounce-throttle,MEDIUM,Throttle or debounce high-frequency events like scroll resize and input,Debounce search input by 300ms; throttle scroll handlers to 16ms,Attach unthrottled resize handler that recalculates layout 100x per second,Web/Mobile,Performance
28,Performance,progressive-loading,HIGH,Use skeleton screens instead of long spinners for content loading,Show skeleton shimmer for content loading over 300ms,Show empty page or just spinner for long data loads,Web/Mobile,Apple HIG
29,Style Selection,consistency,HIGH,Maintain consistent visual style across all pages and components,Create design tokens; document component patterns in storybook or docs,Change border-radius style between pages; mix flat and skeuomorphic,Web/Mobile,Design Principles
30,Style Selection,no-emoji-icons,HIGH,Use SVG icon sets not emoji for UI controls and navigation,Use Lucide React HeroIcons or platform icons; consistent stroke weight,Use emoji for navigation icons buttons or functional UI elements,Web/Mobile,Apple HIG
31,Style Selection,effects-match-style,MEDIUM,Visual effects like shadows blur and radius should match chosen style,Glassmorphism uses backdrop-filter; flat design uses no shadow; neumorphism uses dual shadow,Add blur effects to flat design; use hard shadows with glassmorphism,Web/Mobile,Design Principles
32,Style Selection,dark-mode-pairing,HIGH,Design light and dark mode together; don't invert light colors for dark,Use desaturated lighter tonal variants in dark mode; test contrast separately,Simply invert light mode colors for dark mode; assume same contrast,Web/Mobile,Apple HIG / MD
33,Layout Responsive,viewport-meta,CRITICAL,Set correct viewport meta tag; never disable user zoom,Add meta viewport content="width=device-width initial-scale=1",Use maximum-scale=1 or user-scalable=no which disables zoom,Web,WCAG 2.1
34,Layout Responsive,mobile-first,HIGH,Design mobile layout first then scale up to tablet and desktop,Start CSS with mobile styles; add larger breakpoints with min-width media queries,Design desktop first and add mobile overrides with max-width queries,Web,Best Practice
35,Layout Responsive,horizontal-scroll,CRITICAL,No horizontal scroll on mobile; content must fit within viewport width,Test on 375px viewport; use overflow-x:hidden as safety net on body,Use fixed pixel widths for cards or containers that overflow small screens,Mobile/Web,Best Practice
36,Layout Responsive,spacing-scale,MEDIUM,Use 4pt or 8dp incremental spacing system for all margins and padding,Define spacing tokens: 4 8 12 16 24 32 48 64px; use consistently,Use arbitrary spacing values like 13px 22px 37px with no system,Web/Mobile,MD
37,Layout Responsive,readable-font-size,HIGH,Minimum 16px body text on mobile to prevent iOS auto-zoom on inputs,Set body font-size at 16px minimum; use 1rem default,Use 14px body text on mobile; use 14px inputs which trigger iOS zoom,Mobile,Apple HIG
38,Layout Responsive,container-width,MEDIUM,Use consistent max-width for content containers on desktop,Apply max-w-6xl or max-w-7xl with mx-auto for page containers,Let content stretch to full 2560px monitor width without container,Web,Best Practice
39,Typography Color,line-height,MEDIUM,Use 1.5 to 1.75 line height for body text for readability,Set body line-height:1.6 or 1.7; tighter for headings (1.2-1.3),Use line-height:1 or very tight 1.2 for body paragraph text,Web/Mobile,Typography
40,Typography Color,font-scale,MEDIUM,Use consistent type scale like 12 14 16 18 24 32 48 64,Define type scale tokens and use consistently across app,Use arbitrary font sizes like 13px 17px 22px with no scale,Web/Mobile,Typography
41,Typography Color,color-semantic,HIGH,Use semantic color tokens not raw hex values in components,Define primary secondary error success surface tokens; map to actual colors,Hardcode #2563EB directly in component styles without token,Web/Mobile,MD Color System
42,Animation,duration-timing,MEDIUM,150-300ms for micro-interactions; up to 400ms for complex transitions,Set transition duration 150ms for hover states; 300ms for modal enter,Use 1000ms slow transitions or 0ms instant state changes,Web/Mobile,MD
43,Animation,transform-performance,HIGH,Animate only transform and opacity properties for 60fps performance,Use transform:translateX() and opacity for all animations,Animate top/left/width/height which trigger layout recalculation,Web/Mobile,Performance
44,Animation,easing,MEDIUM,Use ease-out for entering; ease-in for exiting; no linear for UI,Apply cubic-bezier(0.25 0 0 1) for natural enter; reverse for exit,Use linear easing for UI transitions; it feels mechanical and robotic,Web/Mobile,MD Motion
45,Animation,loading-states,HIGH,Show skeleton or progress indicator after 300ms loading,Show shimmer skeleton after 300ms of data loading,Show empty blank screen while data loads; no loading indicator at all,Web/Mobile,Apple HIG
46,Animation,spring-physics,MEDIUM,Use spring physics curves for natural feeling animations in mobile,Use spring animation in React Native Animated or Reanimated,Use linear or cubic-bezier only for all animations in native apps,Mobile,Apple HIG
47,Forms Feedback,input-labels,CRITICAL,Every input field must have a visible text label; not placeholder only,Use label element associated with input; floating label is acceptable,Use placeholder text as the only label which disappears on focus,Web/Mobile,WCAG 2.1
48,Forms Feedback,error-placement,HIGH,Show validation errors directly below the related field,Position error message immediately after input with aria-live alert,Show all errors only at top of form; show errors before user interacts,Web/Mobile,WCAG 2.1
49,Forms Feedback,inline-validation,HIGH,Validate on blur not on each keystroke; show error after user leaves field,Trigger validation onBlur event; clear error when user begins correcting,Show real-time error messages as user types each character,Web/Mobile,MD
50,Forms Feedback,toast-dismiss,MEDIUM,Auto-dismiss informational toasts in 3-5 seconds; error toasts need manual dismiss,Use 4s for success toasts; leave error toasts until user dismisses,Keep success toasts visible until user dismisses; dismiss errors automatically,Web/Mobile,MD
51,Forms Feedback,confirmation-dialogs,HIGH,Require explicit confirmation before destructive irreversible actions,Show "Are you sure? This cannot be undone" dialog for deletes,Delete records immediately on first click without confirmation,Web/Mobile,Apple HIG
52,Forms Feedback,empty-states,HIGH,Show helpful empty state with explanation and call-to-action,Show illustration + friendly message + primary action for empty state,Show blank empty screen with no explanation or next step,Web/Mobile,MD
53,Forms Feedback,progressive-disclosure,MEDIUM,Reveal complex form options progressively; show basic form first,Show advanced options behind "Show more" or stepper navigation,Show all 20 form fields simultaneously on first visit,Web/Mobile,Apple HIG
54,Forms Feedback,password-toggle,MEDIUM,Provide show/hide password toggle in password fields,Add eye icon button to toggle password visibility,Force users to type password blind with no way to verify,Web/Mobile,MD
55,Navigation,bottom-nav-limit,HIGH,Maximum 5 items in bottom navigation; always include text label with icon,Keep bottom nav to 3-5 items; label every icon with text,Put 8 items in bottom nav; use icon-only bottom navigation without labels,Mobile,MD
56,Navigation,back-behavior,HIGH,Back navigation must be predictable; preserve scroll position and state,Return to same scroll position on back; preserve form state navigation,Reset scroll to top on back navigation; clear form state when navigating away,Mobile/Web,Apple HIG
57,Navigation,deep-linking,HIGH,All important screens must support deep linking via URL or URI scheme,Implement React Navigation deep links; handle URL parameters for state,App screens not reachable via URL; no sharing or push notification deep links,Mobile,Apple HIG
58,Navigation,nav-state-active,HIGH,Current navigation location must be visually highlighted with color and indicator,Highlight active tab with primary color + active indicator dot or underline,All navigation items appear identical with no active state indicator,Web/Mobile,Apple HIG / MD
59,Navigation,modal-escape,HIGH,Modals must have clear close affordance; support swipe-down to dismiss,Show X close button in modal header; support swipe-down gesture on sheets,Full-screen modals with no close button and no gesture to dismiss,Mobile/Web,Apple HIG
60,Navigation,breadcrumb-web,MEDIUM,Web: use breadcrumbs for 3+ level deep hierarchies,Add breadcrumb navigation on product detail and deep content pages,Omit breadcrumbs on sites with 4+ hierarchy levels leaving users lost,Web,MD
61,Navigation,state-preservation,HIGH,Preserve scroll position filter state and form input when navigating back,Store and restore scroll position on back navigation; keep filter selections,Clear all user selections and scroll position every time user navigates back,Mobile/Web,Apple HIG / MD
62,Navigation,adaptive-navigation,HIGH,Large screens prefer sidebar; small screens use bottom or top navigation,Render sidebar on 1024px+ breakpoint; bottom nav on mobile,Show bottom navigation on desktop; show small mobile tabs on large screen,Web,MD
63,Charts Data,chart-type,MEDIUM,Match chart type to the type of data being visualized,Use line chart for time series; bar chart for comparison; pie for proportion,Use pie chart for comparing many categories; line chart for unrelated categories,Web/Mobile,Data Viz
64,Charts Data,legend-visible,MEDIUM,Always show chart legend near the chart visible without scrolling,Position legend above or to the right of chart; interactive to toggle series,Place legend below a fold requiring scroll; use no legend at all,Web/Mobile,MD
65,Charts Data,tooltip-on-interact,HIGH,Show tooltips with exact values on hover (web) or tap (mobile),Implement custom tooltip with formatted value + date + label,Show chart with no way to see exact values; visual shape only,Web/Mobile,Apple HIG / MD
66,Charts Data,responsive-chart,HIGH,Charts must reflow and simplify on small screens,Reduce tick density; use horizontal bar instead of vertical on mobile,Render same chart regardless of screen size causing unreadable labels,Web/Mobile,Best Practice
67,Charts Data,no-pie-overuse,MEDIUM,Avoid pie charts for more than 5 categories,Switch to horizontal bar chart when comparing 6+ categories,Use 12-slice pie chart with tiny unreadable segments,Web/Mobile,Data Viz
68,Charts Data,empty-data-state,HIGH,Show meaningful empty state when chart has no data,Show "No data available yet" with illustration and guidance action,Render empty chart axes with no data and no explanation,Web/Mobile,MD
69,Charts Data,color-guidance,HIGH,Use accessible color palettes for charts; colorblind-safe combinations,Use pattern or shape + color together; avoid red-green only pairs,Distinguish all chart data using only red and green colors,Web/Mobile,WCAG / MD
70,Performance,main-thread-budget,HIGH,Keep per-frame JavaScript work under 16ms for 60fps performance,Move heavy computation to Web Workers; use requestAnimationFrame for DOM updates,Run expensive calculations synchronously in event handlers blocking scroll,Web,Performance
71,Performance,offline-support,MEDIUM,Provide offline state messaging and graceful degradation,Show offline banner; cache critical data; allow offline read of cached content,Show cryptic error or blank screen when user goes offline,Web/Mobile,PWA / Apple HIG
72,Animation,no-blocking-animation,CRITICAL,Never block user interaction during animations; keep UI responsive,Allow user to tap buttons and navigate during transition animations,Lock entire UI during page transition animation until complete,Mobile,Apple HIG
73,Animation,stagger-sequence,MEDIUM,Stagger list item entrance animations by 30-50ms per item,Apply 50ms delay increment to list items entering view,Animate all 20 list items simultaneously or with same delay,Web/Mobile,MD Motion
74,Animation,exit-faster-than-enter,MEDIUM,Exit animations should be 60-70% duration of enter animations,Enter: 300ms ease-out; Exit: 200ms ease-in for responsive feel,Use same duration for both enter and exit making exits feel slow,Web/Mobile,MD Motion
75,Forms Feedback,autofill-support,MEDIUM,Enable browser autofill with proper autocomplete attributes,Add autocomplete="email" autocomplete="current-password" etc to inputs,Set autocomplete="off" for all form fields preventing autofill,Web/Mobile,Apple HIG / MD
76,Forms Feedback,undo-support,MEDIUM,Allow undoing destructive or bulk actions via toast with Undo action,Show "Item deleted - Undo" toast with 5s window to reverse action,Delete immediately with no way to recover; require filing support ticket,Web/Mobile,Apple HIG
77,Forms Feedback,multi-step-progress,HIGH,Multi-step forms must show progress indicator and allow back navigation,Show step 2 of 4 indicator; provide back button to previous step,Show multi-step form with no indicator of total steps or current position,Web/Mobile,MD
78,Navigation,tab-badge,MEDIUM,Use notification badges sparingly on navigation items; clear on visit,Show count badge on Messages tab for unread; clear when tab visited,Show badge on every tab always; never clear badges after user visits,Mobile,Apple HIG / MD
79,Navigation,overflow-menu,MEDIUM,When actions exceed space use overflow menu instead of cramming,Show primary 2 actions inline + three-dot overflow for additional actions,Cram 6 tiny action icons into toolbar until each is 16x16,Mobile/Web,MD
80,Layout Responsive,z-index-management,MEDIUM,Define systematic z-index scale rather than arbitrary high values,Define tokens: modal:1000 drawer:900 overlay:800 dropdown:700 tooltip:600,Set z-index:9999999 randomly on one component breaking entire stack,Web,Best Practice
81,Layout Responsive,viewport-units,MEDIUM,Use dynamic viewport units dvh on mobile to handle browser chrome,Use min-h-dvh for full-height sections; avoid 100vh on mobile,Use 100vh on mobile which includes hidden browser chrome causing overflow,Mobile/Web,CSS
82,Layout Responsive,scroll-behavior,HIGH,Avoid nested scroll regions that conflict with primary page scroll,Use full page scroll; contain horizontal scroll to carousels only,Nest scrollable div inside scrollable page on mobile touch devices,Mobile/Web,Best Practice
83,Accessibility,escape-routes,HIGH,Provide cancel and back navigation in all modal and multi-step flows,Add Cancel button in all dialogs; Escape key closes modal; X in corner,Modal with no way to close except completing the flow entirely,Web/Mobile,Apple HIG
84,Touch Interaction,press-feedback,HIGH,Provide immediate visual feedback on press within 100ms,Change button opacity or background color on press immediately,No visual change when user taps a button leaving them unsure it worked,Mobile,MD State Layers
85,Performance,image-dimension,HIGH,Declare explicit width and height on all images to prevent layout shift,Add width and height attributes; use aspect-ratio CSS as alternative,Load images without dimensions causing layout reflow as image loads,Web,Core Web Vitals CLS
86,Typography Color,weight-hierarchy,MEDIUM,Use font weight to reinforce visual hierarchy systematically,Headings 700; body 400; labels and UI text 500; captions 400,Use same font weight throughout entire interface flattening hierarchy,Web/Mobile,MD
87,Typography Color,number-tabular,MEDIUM,Use tabular/monospaced figures for prices amounts and timer displays,Apply font-variant-numeric:tabular-nums for price columns and live counters,Use proportional figures in tables causing column misalignment,Web/Mobile,Typography
88,Typography Color,whitespace-balance,HIGH,Use whitespace intentionally to group related elements and create breathing room,Use generous spacing between sections; tighter between related items,Make every section same spacing with no visual grouping logic,Web/Mobile,Apple HIG
89,Animation,modal-motion,MEDIUM,Modals should animate from their trigger source with scale and fade,Scale from trigger button + fade in for modal enter animation,Modals appear with no animation or random directional animation,Mobile/Web,Apple HIG / MD
90,Navigation,gesture-nav-support,HIGH,Support system gesture navigation without conflict in native apps,Allow iOS swipe-back gesture in all navigable screens; test Android back,Intercept swipe-back gesture for your own gesture without fallback,iOS/Android,Apple HIG
91,Accessibility,keyboard-shortcuts,MEDIUM,Preserve system and accessibility keyboard shortcuts; don't override,Don't override Ctrl+C Cmd+Z or screen reader shortcuts; document custom ones,Override browser defaults like Ctrl+W or Cmd+Q with app shortcuts,Web,Apple HIG
92,Touch Interaction,swipe-clarity,MEDIUM,Swipe actions must show clear affordance; don't rely on undiscoverable gesture,Show swipe hint with arrow or partial reveal; include tutorial on first use,Hide critical functionality exclusively behind undocumented swipe gesture,Mobile,Apple HIG
93,Performance,tap-feedback-speed,HIGH,Provide visual feedback within 100ms of any tap for responsiveness,Apply active state style immediately on touchstart; before any async action,Only update UI after async response returns which could take 2+ seconds,Mobile,Apple HIG
94,Forms Feedback,error-recovery,HIGH,Error messages must include actionable recovery path not just error statement,Show "Email already registered - Sign in instead" with link to sign in,Show "Error 409 Conflict" with no explanation of what user can do next,Web/Mobile,Apple HIG / MD
95,Charts Data,axis-readability,MEDIUM,Axis ticks must not be crowded; auto-skip on small screens,Reduce to 5-6 tick marks on mobile; use abbreviated labels like Jan Mar May,Show all 12 month labels on 320px screen with overlapping text,Web/Mobile,Data Viz
96,Navigation,focus-on-route-change,HIGH,Move focus to main content heading after page navigation for screen readers,Call focus() on main content element or h1 after route change,Leave focus on nav link after navigation requiring screen reader to re-traverse nav,Web,WCAG 2.1
97,Forms Feedback,field-grouping,MEDIUM,Group related form fields logically using fieldset or visual grouping,Group billing address fields together; separate from payment method fields,Scatter related fields randomly throughout long form with no grouping,Web/Mobile,MD
98,Touch Interaction,drag-threshold,MEDIUM,Use a pixel threshold before initiating drag to prevent accidental drags,Start drag after 10px movement threshold; treat as tap if under threshold,Start drag immediately on touchstart causing accidental drags on scroll,Mobile,Best Practice
99,Layout Responsive,orientation-support,HIGH,Ensure layout remains usable in landscape mode on mobile devices,Test all screens in landscape; adjust layout for wider shorter viewport,Design only for portrait mode; landscape breaks layout or is unreadable,Mobile,Best Practice
